id,name,shortDesc,fullDesc,price,popularity,image,category
1,Форсайт домики,Клеевые липучки от таракнов 5 шт. в уп.,"Клеевые ловушки для тараканов могут стать эффективным средством избавления от тараканов. Они содержат профессиональный инсектицид нового поколения и нетоксичны для человека и домашних животных. Данные клеевые ловушки от марки «Форссайт», подходят для использования в помещениях, требующих повышенной экологической безопасности, в том числе в детских садах, школах, больницах, квартирах, офисах, магазинах, продовольственных складах. Они просты в использовании, могут быть установлены где угодно и остаются активными в течение трех месяцев. В наборе пять ловушек.",400,100,images/products/fosait_lipu.jpg,Инсектициды
2,Рефтамид Экстрим усиленный,Репеллент аэрозоль  8 часов 150 мл,"Это профессиональное средство от насекомых для взрослых, защищающее от кровососущих насекомых и клещей. Использовать при температуре выше +10°С, перед применением взбалтывать и наносить на открытом воздухе, в защищенном от ветра месте. При использовании одежду и ткань следует распылить на расстоянии 20-25 см, затем высушить. На коже средство обеспечивает защиту от насекомых более 4 часов, на одежде — до 30 дней, от клещей на одежде — до 5 дней.",300,73,images/products/reftamid_300.jpg,Инсектициды
3,Тайга домики,Клеевые липучки от таракнов 10 шт. в уп.,Содержит приманку в виде посыпки уже нанесен на липучку . Предотвращает размножение насекомых. Можно использовать поштучно. Также возможна продажа по штучно = 50р.,500,99,images/products/taiga.png,Инсектициды
4,Рулетка 3м,Двусторонняя шкала,Ударопрочный корпус и фиксатор ленты.,110,68,images/products/ruletka.jpg,Инструменты
5,Рулетка 5м,Двусторонняя шкала,Ударопрочный корпус и фиксатор ленты.,110,68,images/products/ruletka.jpg,Инструменты
6,Рулетка 10м,Двусторонняя шкала,Ударопрочный корпус и фиксатор ленты.,150,68,images/products/ruletka.jpg,Инструменты
7,Нож монтажный + лезвия,5 лезвий в комплекте,Металлический корпус и автоматическая фиксация.,300,91,images/products/knife_stroy.jpg,Инструменты
8,Бита на блистере ,"""WHIRL POWER ORIGINAL"" - PH2*25",Цена за штуку,100,73,images/products/bita_25.jpg,Инструменты
9,Тёрка для шинковки Большая,Нерж.,Рабочая поверхность 20х33см. Односторонняя,400,30,images/products/terka_big_400,Кухонная утварь
10,Овощерезка Большая,Пластмассовая ,,600,30,images/products/ovosherezka_bol_plast_600.jpg,Кухонная утварь
11,Фартук,,,250,20,images/products/,Кухонная утварь
12,Доска разделочная XXL,Бамбук,Рабочая поверхность 40х30см. Толщина 15мм,900,30,images/products/bamboo_cutting_board_xxl.jpg,Кухонная утварь
13,Доска разделочная авакадо,Идеально подойдет для подарка ,,300,30,images/products/avakado_cutting.jpg,Кухонная утварь
14,Набор досок разделочных ,Идеально подойдет для подарка ,,700,30,images/products/,Кухонная утварь
15,Многофункциональная овощерезка,"В комплекте : сменные насадки , овощечистка , держатель овощей",,500,40,images/products/,Кухонная утварь
16,Овощерезка набор Premium,Со сменными насадками,,650,30,images/products/white_ovosh_650.jpg,Кухонная утварь
17,Овощерезка набор Эконом,Со сменными насадками,,350,81,images/products/red_ovosh.jpg,Кухонная утварь
18,Тёрка для корейской моркови Libra Plast,Средняя. Без сменных насадок,,200,84,images/products/rabbit_rezka_200.jpg,Кухонная утварь
19,Тёрка для корейской моркови ,Мини. Без сменных насадок,,150,98,images/products/rabbit_rezka_200.jpg,Кухонная утварь
20,Тёрка Мини универсальная,Без сменных насадок,,200,95,images/products/terka_oranj_200.jpg,Кухонная утварь
21,Яйцерезка пластмассовая,Слайсер для яиц,"Изготовлен из нержавеющей стали и полипропилена, вы без труда сможете измельчить яйцо. Хорошо натянутая стальная проволока легко нарезает продукт на кусочки равной толщины.",100,64,images/products/egg_cutting_100.jpg,Кухонная утварь
22,Яйцерезка металлическая,Слайсер для яиц,"Изготовлен из нержавеющей стали , вы без труда сможете измельчить яйцо.",150,13,images/products/egg_cutting_150.jpg,Кухонная утварь
23,Яйцерезка комбо пластмассовая ,Слайсер для яиц 2в1 ,"Изделие имеет 2 насадки, которые могут использоваться как вместе, так и пo-отдельности, в зависимости от того, какая используется. ",200,52,images/products/egg_cutting_200.jpg,Кухонная утварь
24,Турка-кувшин для взбивания ,Металлический мерный стакан - 1000мл.,Материал корпуса: керамика. Иделаьно подойдет для молока,600,29,images/products/Merniy_nerj.jpg,Кухонная утварь
25,Держатель для мяса,,,200,81,images/products/meat_cutting.jpg,Кухонная утварь
26,Бамбуковые шампура для барбекю размер - 40см.,"Бамбуковые шпажки для барбекю
Размер: 40 см.",,150,19,images/products/bamboo_shpash.jpg,"Кухонная утварь,На пикник"
